,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
423,6/17/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Projection,"When the Master additive was taken from the AFO-755 license plate towards the launching team No. 26, the collaborator Bonifacio (robot assistant) at the moment he received the bucket emptiness of the operator Enoc feels that he drops a drop of additive in the right eye, feeling a burning sensation, so he immediately goes to wash the affected eye in the team's eyes, then the collaborator is evacuated to NATCLAR. At the time of the accident, the employee had glasses, but he was not using them correctly."
300,1/5/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Projection,"In the volvo workshop at the time of cutting steel plate (thickness 1 in), for the installation of the MT-32 scoop lip, with Oxicorte equipment, the injured feels a discomfort in both eyes. At the time of the accident the collaborator made use of his full Epp, but the soldering iron lens did not make full adjustment for the presence of the respirator."
310,1/14/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Projection,"During the activity of settling of concrete blocks for the ventilation plug wall in the CX-943 of level 3590, in circumstances that the worker made the setting of the union between concrete blocks, a polyethylene pipe of 2 ""diameter was picks up the spike and when it hits it hits the top of the worker's protector."
340,2/13/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Projection,"During the maintenance of the peristaltic pump 02BP0166 to change the internal hose, the rupture tubing of the reserve pump 02BP0167 ruptured after it started to operate, designing solution heated towards the employee, reaching his left forearm causing irritation in the skin."
347,2/17/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Projection,"At the conclusion of the unloading of ore with the AMP-819 plate tipper, in the pit 01, the driver notices that a stretch of support mesh is stuck in the hopper hatch; then the driver gets off his equipment (with the hopper lifted) to remove with his hands this mesh, when generating force, fine particles of rock fall and one of them is impregnated in the eye of the injured. At the time of the incident, the injured person used his measuring glasses and did not have any surcharges."
351,2/25/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Projection,"In the support process, in circumstances that the assistant performs the Last cut in the transverse length of the mesh; The mesh generates a movement towards the operator and hits the face causing the described injury."
391,4/23/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Projection,"Approx. 10:00 pm. Mr. Victor at the time he made a visual inspection of scaffolding, suffered a slight blow to the level of the right ear with the metallic extension of the chute of the conveyor chain."
401,5/6/2017 0:00,Country_02,Local_07,Mining,IV,V,Male,Employee,Projection,"The employees MÃ¡rcio and SÃ©rgio performed the pump pipe clearing activity FZ1.031.4 and during the removal of the suction spool flange bolts, there was projection of pulp over them causing injuries."
402,5/6/2017 0:00,Country_02,Local_07,Mining,II,V,Male,Employee,Projection,"The employees MÃ¡rcio and SÃ©rgio performed the pump pipe clearing activity FZ1.031.4 and during the removal of the suction spool flange bolts, there was projection of pulp over them causing injuries."
409,5/19/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Projection,"At 04:00 h on 05/19/17, the mechanic on duty of section 40 Antonio is observed in the activity of withdrawal check out of POM D071, at this moment he is impacted by a pulp of the line of discharge stuck, causing irritation in the right part of the neck and ear. The mechanic is referred to the medical center for evaluation."
415,6/9/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Projection,"At Level 2930 in the guide wire chamber, during the preparation activity of mix for the shocrete the worker performs the emptying of a bag of cement towards a bucket to complete the dosage, at that moment the dust generated by the cement enters by the lower part of the lenses to the left eye causing irritation."
422,6/15/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Projection,"The convoy of the locomotive 15 operated by Mr. Tito is located in hopper OP2 positioning the 1st car under the hopper, the assistant does not observe anything out of the ordinary (dry load there is no presence of water) and initiates the chute, for this, the hydraulic module of the hopper is switched on and with the controls it slightly moves the hopper handle and an untimely flow of water and mud splashes the operator generating the described injury, in addition the collaborator was 7 meters from the line of fire"
423,6/17/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Projection,"When the Master additive was taken from the AFO-755 license plate towards the launching team No. 26, the collaborator Bonifacio (robot assistant) at the moment he received the bucket emptiness of the operator Enoc feels that he drops a drop of additive in the right eye, feeling a burning sensation, so he immediately goes to wash the affected eye in the team's eyes, then the collaborator is evacuated to NATCLAR. At the time of the accident, the employee had glasses, but he was not using them correctly."
112,4/26/2016 0:00,Country_02,Local_05,Metals,I,II,Female,Third Party,Cut,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.
144,6/1/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.
145,6/2/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand"
200,8/4/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Employee,Cut,"When removing the cap from the wear plate of the Warman LX-BB-01 pump, the left hand of the employee who was with the glove slipped came to have contact with the cutting part of the board."
210,8/24/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand."
304,1/8/2017 0:00,Country_01,Local_06,Metals,III,III,Male,Employee,Cut,"At 11:25 a.m., the deslaminator stops untimely, then the operator lowers and locks the machine to verify the failure, detecting locking of the sheet between the basket and the manipulator. The operator tries to arrange the sheet manually and when pulling the sheet, this one cuts the palm of the right hand with the edge of the sheet, is referred to the medical center for attention."
332,2/8/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Cut,"Being 12:20 hours Approximately, in circumstances that the Administrative SSOMAC, was arranged to move the guillotine of the right side towards the center of the table to make cuts of enmicadas pages, when trying to raise the guillotine the middle finger of the right hand It rubs against the edge of the guillotine blade, causing the cut in the yolk of the third finger of the right hand."
335,2/8/2017 0:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Cut,The injured collaborator and one of his colleagues wanted to move a rim of a scoop tire for which using their own strength they threw the rim to the floor to make it roll and in that instant the eyelash hits the fifth finger of the right hand against the ring producing the injury.
404,5/16/2017 0:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Cut,"The maid was handling a pipette for sample preparation for chemical analysis, while trying to place it on the three-way pear, the pipette came to break causing a superficial cut in her right hand."
407,5/17/2017 0:00,Country_02,Local_07,Mining,I,I,Male,Employee,Cut,"ACTIVITY: maintenance on scaller 07 - breaker arm extension cylinder LOCAL: underground mine (level 316) During the removal of the cylinder from the scaller arm, when releasing the fixing pin the cylinder ""came down"" and bumped into the tool used to press his hand between the tool and the structure of the equipment."
419,6/11/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Cut,"Approx. 18:40 hours, Mr. Luis maintenance team of mobile equipment, adjusted a bolt of the front loader J005A, at which time his face is impacted by the key used for this activity, producing a slight cut in the surface of the face. He is transferred to the medical service, attended and registered."
428,6/24/2017 0:00,Country_01,Local_03,Mining,I,II,Female,Third Party,Cut,"On the surface, Comedor the worker of the company C & C made the cut of lemon at that time imprisoned the knife generating a movement and impacting on the first finger of the left hand causing a slight cut."
437,7/6/2017 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut,"The Employee performed the activity of stripping cathodes, when pulling the cathode sheet his hand hit the side of another cathode, causing a blunt cut on his 2nd finger of the left hand."
112,4/26/2016 0:00,Country_02,Local_05,Metals,I,II,Female,Third Party,Cut,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.
144,6/1/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.
145,6/2/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand"
200,8/4/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Employee,Cut,"When removing the cap from the wear plate of the Warman LX-BB-01 pump, the left hand of the employee who was with the glove slipped came to have contact with the cutting part of the board."
210,8/24/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand."
304,1/8/2017 0:00,Country_01,Local_06,Metals,III,III,Male,Employee,Cut,"At 11:25 a.m., the deslaminator stops untimely, then the operator lowers and locks the machine to verify the failure, detecting locking of the sheet between the basket and the manipulator. The operator tries to arrange the sheet manually and when pulling the sheet, this one cuts the palm of the right hand with the edge of the sheet, is referred to the medical center for attention."
332,2/8/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Cut,"Being 12:20 hours Approximately, in circumstances that the Administrative SSOMAC, was arranged to move the guillotine of the right side towards the center of the table to make cuts of enmicadas pages, when trying to raise the guillotine the middle finger of the right hand It rubs against the edge of the guillotine blade, causing the cut in the yolk of the third finger of the right hand."
335,2/8/2017 0:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Cut,The injured collaborator and one of his colleagues wanted to move a rim of a scoop tire for which using their own strength they threw the rim to the floor to make it roll and in that instant the eyelash hits the fifth finger of the right hand against the ring producing the injury.
404,5/16/2017 0:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Cut,"The maid was handling a pipette for sample preparation for chemical analysis, while trying to place it on the three-way pear, the pipette came to break causing a superficial cut in her right hand."
407,5/17/2017 0:00,Country_02,Local_07,Mining,I,I,Male,Employee,Cut,"ACTIVITY: maintenance on scaller 07 - breaker arm extension cylinder LOCAL: underground mine (level 316) During the removal of the cylinder from the scaller arm, when releasing the fixing pin the cylinder ""came down"" and bumped into the tool used to press his hand between the tool and the structure of the equipment."
419,6/11/2017 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Cut,"Approx. 18:40 hours, Mr. Luis maintenance team of mobile equipment, adjusted a bolt of the front loader J005A, at which time his face is impacted by the key used for this activity, producing a slight cut in the surface of the face. He is transferred to the medical service, attended and registered."
428,6/24/2017 0:00,Country_01,Local_03,Mining,I,II,Female,Third Party,Cut,"On the surface, Comedor the worker of the company C & C made the cut of lemon at that time imprisoned the knife generating a movement and impacting on the first finger of the left hand causing a slight cut."
437,7/6/2017 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut,"The Employee performed the activity of stripping cathodes, when pulling the cathode sheet his hand hit the side of another cathode, causing a blunt cut on his 2nd finger of the left hand."
112,4/26/2016 0:00,Country_02,Local_05,Metals,I,II,Female,Third Party,Cut,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.
144,6/1/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.
145,6/2/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand"
200,8/4/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Employee,Cut,"When removing the cap from the wear plate of the Warman LX-BB-01 pump, the left hand of the employee who was with the glove slipped came to have contact with the cutting part of the board."
210,8/24/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut,"The servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand."
304,1/8/2017 0:00,Country_01,Local_06,Metals,III,III,Male,Employee,Cut,"At 11:25 a.m., the deslaminator stops untimely, then the operator lowers and locks the machine to verify the failure, detecting locking of the sheet between the basket and the manipulator. The operator tries to arrange the sheet manually and when pulling the sheet, this one cuts the palm of the right hand with the edge of the sheet, is referred to the medical center for attention."
67,3/14/2016 0:00,Country_01,Local_06,Metals,II,III,Male,Third Party (Remote),Chemical substances,"During the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face."
75,3/14/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.
77,3/18/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns."
113,4/28/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances,"after discharging sodium hydroxide and disconnecting the hose, the employee placed next to the demineralization suction pump, which was turned off, receiving projection from the pump sensor, causing a 1st degree burn."
119,5/2/2016 0:00,Country_02,Local_05,Metals,I,IV,Female,Third Party (Remote),Chemical substances,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.
123,5/4/2016 0:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler."
124,5/4/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps."
128,5/12/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Chemical substances,"On Sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. When leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; At that moment, skin contact occurs with sulfates, generating the lesion."
187,7/15/2016 0:00,Country_02,Local_05,Metals,I,II,Female,Employee,Chemical substances,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn."
190,7/20/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face."
213,8/29/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Chemical substances,"The employee reports that after carrying out activity in the area of â€‹â€‹the Expedition was to remove the overalls and had contact with material that contaminated the sleeve, which caused 1st degree burn in the right forearm."
250,10/11/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances,Employee was doing cleaning near the area of â€‹â€‹the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.
346,2/17/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Chemical substances,"Once the painting of the pumping pipe has been completed, the person involved involuntarily touches his face, with his hand (with gloves) full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously, until finally the paint on the face is cleaned, this friction generates the described injury."
370,3/15/2017 0:00,Country_02,Local_08,Metals,II,IV,Female,Employee,Chemical substances,"During the preparation for the solubilization activity of the sample in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs."
376,4/4/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances,"Employee reports that he was supervising an activity in the Ustulation, near the Ball when a projection of hot humped dust from the upper floor reached his cervical (""neck"" region), causing a first degree burn."
382,4/10/2017 0:00,Country_02,Local_02,Mining,I,II,Male,Third Party,Chemical substances,"Employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning."
67,3/14/2016 0:00,Country_01,Local_06,Metals,II,III,Male,Third Party (Remote),Chemical substances,"During the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face."
75,3/14/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.
77,3/18/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Chemical substances,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns."
113,4/28/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances,"after discharging sodium hydroxide and disconnecting the hose, the employee placed next to the demineralization suction pump, which was turned off, receiving projection from the pump sensor, causing a 1st degree burn."
119,5/2/2016 0:00,Country_02,Local_05,Metals,I,IV,Female,Third Party (Remote),Chemical substances,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.
123,5/4/2016 0:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler."
124,5/4/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps."
128,5/12/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Chemical substances,"On Sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. When leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; At that moment, skin contact occurs with sulfates, generating the lesion."
187,7/15/2016 0:00,Country_02,Local_05,Metals,I,II,Female,Employee,Chemical substances,"when handling a sample in the laboratory, the sleeve of the employee's coat had contact with nitric acid, absorbing a small amount that came to reach the left forearm, causing a 1st degree burn."
190,7/20/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances,"The employee reports that he was draining ammonia, used as a refrigerant, into a container of water when splashes of the solution drained onto his face."
213,8/29/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Chemical substances,"The employee reports that after carrying out activity in the area of â€‹â€‹the Expedition was to remove the overalls and had contact with material that contaminated the sleeve, which caused 1st degree burn in the right forearm."
250,10/11/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances,Employee was doing cleaning near the area of â€‹â€‹the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.
346,2/17/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Chemical substances,"Once the painting of the pumping pipe has been completed, the person involved involuntarily touches his face, with his hand (with gloves) full of paint, and to clean himself he makes use of a dry industrial cloth and begins to rub his face, for a period of time from 30 to 40 seconds continuously, until finally the paint on the face is cleaned, this friction generates the described injury."
370,3/15/2017 0:00,Country_02,Local_08,Metals,II,IV,Female,Employee,Chemical substances,"During the preparation for the solubilization activity of the sample in the chapel, the maid when moving the vial of nitric acid, the same detached from the doser, causing projection in the region of the face and upper limbs."
376,4/4/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances,"Employee reports that he was supervising an activity in the Ustulation, near the Ball when a projection of hot humped dust from the upper floor reached his cervical (""neck"" region), causing a first degree burn."
382,4/10/2017 0:00,Country_02,Local_02,Mining,I,II,Male,Third Party,Chemical substances,"Employee to perform painting of the floor of the fuel tank area, he needed cleaning, and by pouring water-thinner on the floor, the bucket slipped out of his hand and the mixture projected onto his left shoulder and lower lip, causing redness and burning."
25,2/15/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Manual Tools,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid."
58,3/4/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Manual Tools,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning."
72,3/16/2016 0:00,Country_02,Local_08,Metals,II,II,Male,Employee,Manual Tools,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm."
94,4/4/2016 0:00,Country_02,Local_09,Metals,III,IV,Male,Employee,Manual Tools,"When it opens the suction valve of the 420-BO-01 acid pump, the cable of the same pump comes loose by pressing the 5th finger of the employee's left hand against the tubing, causing a fracture in the distal phalanx. Photos"
120,5/4/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Manual Tools,"When performing geological mapping activity, it was necessary to hammer a rock for analysis, at the moment when the clerk held it, a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut."
125,5/5/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Manual Tools,"The employee was sanding a piece in the Electrolysis at the end of the operation, when the protective cap of the disk spun to the back of the left hand."
126,5/5/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools,"During the die cutting of the feeder (PEAD geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury."
157,6/10/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Manual Tools,"The employee reports that he was working with brushcutters near the Stone when the blade of the equipment collided with a piece of metal that was projected toward his leg, causing injury to his left leg."
172,6/23/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Employee,Manual Tools,"When handling a lever to move the sludge, the employee moved it by making a pendulum movement and striking his chin."
182,7/8/2016 0:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Manual Tools,"Being 10:25 h approx. hours the operator Fernando during the opening of wagons, finds a hardened stake and uses a bar of approx. 1.5m to remove it. At that moment he presses the bar and hits his hand."
197,8/1/2016 0:00,Country_02,Local_05,Metals,II,III,Female,Third Party,Manual Tools,The employee of partner company GR reports that she was cutting watermelon when she injured her 2nd chirodactilo of the left hand with the knife.
217,9/1/2016 0:00,Country_02,Local_05,Metals,II,IV,Male,Third Party (Remote),Manual Tools,"The clerk was cutting the excess fiberglass in a passing box and had contact with the blade of the marble saw, which cut the glove and caused a wound in his right hand."
235,9/21/2016 0:00,Country_02,Local_05,Metals,II,III,Male,Third Party,Manual Tools,"Employee was preparing rice using a utensil type skimmer to stir inside the pressure cooker when part of the cable broke, reaching its hand causing a blunt cut."
309,1/12/2017 0:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools,"During the reduction activity in the tube, the employee attached the tube to the walrus, and when he hit the tube with the hammer, he untied the walrus by reaching his finger."
315,1/20/2017 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Manual Tools,"When manipulating materials on the master drill truck, the operators decide to make space by moving a radiator, at that moment the driver of the truck is imprisoned the little finger of the left hand against the bar."
328,2/4/2017 0:00,Country_02,Local_02,Mining,I,III,Male,Employee,Manual Tools,Employee was performing drilling activity with the LM17 probe at level 585 GPS and when positioning the needle stem came to hit the left hand ring finger against the retraction box causing superficial injury.
338,2/8/2017 0:00,Country_01,Local_06,Metals,I,I,Male,Third Party (Remote),Manual Tools,"Performing carpentry work, the collaborator hit the second finger of the left hand with the hammer, which he held with his right hand, causing a bruise at the height of the nail. The evaluation was carried out at the medical center of the unit, the final diagnosis being contusion on the finger."
397,4/29/2017 0:00,Country_02,Local_02,Mining,II,III,Male,Employee,Manual Tools,The employee used a lever to remove the sealing ring from the front tire of the wheel loader (LHD 05) when the lever came to release from the fulcrum in the ring and press the left ring finger against the loader shell causing traumatism at the tip of the said finger.
400,5/6/2017 0:00,Country_01,Local_01,Mining,III,IV,Male,Third Party,Manual Tools,"In Circumstances that the staff was performing the rhyming of caving HW, the 1.5 m HW pipe was suspended Approximately 5 cm from the floor, the assistant placed the stilson key No. 36 on the HW pipe to fit the pipe at a height of 10 cm from the base of the rod holder, which the operator operates the chuck to slide this back, causing the pipe to slide causing the tip of the fourth finger of the assistant's right hand to be caught between the stilson key and the base of the rod holder. At the time of the event the collaborator used all his Epps."
25,2/15/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Manual Tools,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid."
58,3/4/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Manual Tools,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning."
72,3/16/2016 0:00,Country_02,Local_08,Metals,II,II,Male,Employee,Manual Tools,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm."
94,4/4/2016 0:00,Country_02,Local_09,Metals,III,IV,Male,Employee,Manual Tools,"When it opens the suction valve of the 420-BO-01 acid pump, the cable of the same pump comes loose by pressing the 5th finger of the employee's left hand against the tubing, causing a fracture in the distal phalanx. Photos"
120,5/4/2016 0:00,Country_03,Local_10,Others,I,I,Male,Third Party,Manual Tools,"When performing geological mapping activity, it was necessary to hammer a rock for analysis, at the moment when the clerk held it, a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut."
125,5/5/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Manual Tools,"The employee was sanding a piece in the Electrolysis at the end of the operation, when the protective cap of the disk spun to the back of the left hand."
126,5/5/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools,"During the die cutting of the feeder (PEAD geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury."
157,6/10/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Manual Tools,"The employee reports that he was working with brushcutters near the Stone when the blade of the equipment collided with a piece of metal that was projected toward his leg, causing injury to his left leg."
172,6/23/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Employee,Manual Tools,"When handling a lever to move the sludge, the employee moved it by making a pendulum movement and striking his chin."
182,7/8/2016 0:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Manual Tools,"Being 10:25 h approx. hours the operator Fernando during the opening of wagons, finds a hardened stake and uses a bar of approx. 1.5m to remove it. At that moment he presses the bar and hits his hand."
197,8/1/2016 0:00,Country_02,Local_05,Metals,II,III,Female,Third Party,Manual Tools,The employee of partner company GR reports that she was cutting watermelon when she injured her 2nd chirodactilo of the left hand with the knife.
217,9/1/2016 0:00,Country_02,Local_05,Metals,II,IV,Male,Third Party (Remote),Manual Tools,"The clerk was cutting the excess fiberglass in a passing box and had contact with the blade of the marble saw, which cut the glove and caused a wound in his right hand."
235,9/21/2016 0:00,Country_02,Local_05,Metals,II,III,Male,Third Party,Manual Tools,"Employee was preparing rice using a utensil type skimmer to stir inside the pressure cooker when part of the cable broke, reaching its hand causing a blunt cut."
7,1/17/2016 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Pressed,"At approximately 04:50 p.m., when the mechanic technician JosÃ© of the Tecnomin verified the transmission belts of the HM-100 pump at the Acid plant, he proceeded to turn the pulley manually; unexpectedly at that instant the electrician supervisor Miguel of the EKA Mining grabs the transmission belts to verify their tension, at which point the finger traps."
35,2/18/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressed,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo."
